guid,label
2478,negative
2403,negative
3072,neutral
2811,positive
926,positive
2581,negative
3545,negative
2556,positive
609,neutral
4216,positive
77,positive
1696,positive
2881,negative
22,negative
1223,positive
3591,neutral
698,positive
3813,positive
1885,negative
3551,negative
2991,negative
540,positive
2354,negative
612,positive
937,negative
1811,negative
3613,positive
534,positive
1030,positive
1308,neutral
4908,negative
1967,negative
727,negative
3938,negative
4671,neutral
962,neutral
40,positive
424,neutral
4534,positive
4537,neutral
272,negative
602,negative
92,positive
2746,negative
2856,positive
3396,positive
1273,positive
1028,neutral
3237,positive
5118,positive
3622,positive
3864,positive
924,positive
3078,negative
482,positive
1679,positive
3217,positive
3260,positive
2130,positive
3027,positive
3958,negative
428,neutral
3326,positive
2812,negative
1250,negative
1748,positive
1407,positive
1288,negative
3307,negative
799,positive
899,negative
199,positive
1325,positive
194,negative
2156,negative
114,positive
2931,negative
3758,positive
1074,positive
4139,negative
3627,positive
1376,positive
2865,negative
384,negative
2383,positive
3984,negative
1075,positive
3911,positive
542,negative
293,positive
2532,positive
4630,neutral
1464,positive
3469,positive
658,positive
217,positive
2105,negative
165,neutral
2365,positive
2899,negative
1591,positive
3620,neutral
2060,neutral
1735,negative
714,positive
3295,positive
1840,negative
1563,positive
2609,positive
4311,positive
3589,positive
1511,neutral
3575,negative
1587,positive
848,neutral
1766,positive
5008,positive
269,neutral
1265,negative
743,positive
1909,neutral
4553,positive
1969,neutral
326,positive
146,neutral
988,positive
461,negative
2164,positive
3713,positive
566,negative
486,negative
221,positive
914,positive
130,negative
4030,positive
722,positive
1373,negative
337,positive
947,negative
3654,positive
3074,positive
13,positive
4201,negative
4843,negative
4535,negative
966,positive
1950,negative
1111,positive
2335,negative
628,negative
1589,negative
2550,negative
1104,neutral
987,positive
3354,negative
647,positive
601,positive
2665,neutral
2375,neutral
459,negative
3175,negative
4147,neutral
1769,negative
3001,positive
1560,positive
2714,negative
1143,positive
2790,neutral
5105,negative
2359,negative
4298,negative
2348,positive
295,positive
2376,positive
3418,positive
1336,negative
1806,positive
4142,neutral
330,neutral
2942,positive
3284,negative
2883,positive
3865,positive
781,positive
2541,positive
3350,positive
4542,negative
1362,negative
1534,negative
662,positive
4048,negative
3743,positive
2591,positive
1093,positive
1504,positive
1293,negative
436,neutral
683,positive
4625,neutral
4181,positive
3817,positive
4859,positive
3486,positive
1479,positive
1101,positive
3311,negative
495,positive
1031,positive
1917,positive
3786,negative
3007,negative
3161,positive
3696,positive
2140,positive
81,positive
2567,negative
4062,negative
1280,positive
574,negative
2839,negative
1261,neutral
2468,positive
2440,positive
4575,positive
1718,positive
817,positive
4510,positive
720,neutral
4571,negative
4540,positive
2844,negative
316,negative
4252,positive
2049,positive
3094,neutral
2925,neutral
298,positive
4513,positive
2666,negative
1491,positive
437,neutral
105,neutral
3655,negative
4124,neutral
3374,neutral
3529,neutral
1109,positive
553,positive
3971,positive
1865,negative
3212,neutral
4396,negative
2961,negative
1968,positive
830,negative
2808,positive
1908,negative
4853,negative
3834,neutral
1653,positive
851,positive
748,positive
4237,positive
3932,positive
398,negative
1616,positive
3128,positive
2032,positive
1262,positive
1310,neutral
1988,positive
5081,negative
1021,positive
3744,positive
2663,negative
2103,positive
2747,negative
2067,negative
5047,positive
1697,negative
2506,positive
3169,negative
4974,negative
3246,positive
3570,positive
3957,positive
2023,positive
4812,neutral
944,negative
3029,positive
2894,positive
1996,positive
992,negative
4502,neutral
3970,positive
3306,negative
1521,positive
3860,positive
1518,positive
4652,negative
2351,positive
456,positive
1067,positive
1899,positive
36,positive
4035,negative
5123,negative
1912,neutral
201,negative
1424,positive
1999,positive
2031,positive
1005,negative
1094,positive
2152,positive
426,neutral
4077,positive
1786,positive
2713,neutral
4543,negative
3599,neutral
409,positive
4357,negative
4475,positive
1385,positive
3467,positive
904,positive
3181,neutral
1784,negative
23,positive
323,negative
603,positive
4401,negative
3020,positive
4257,positive
5024,positive
11,positive
2620,positive
1062,positive
3080,negative
892,positive
2891,positive
4809,positive
2543,positive
1196,neutral
3105,negative
2615,neutral
1698,negative
570,positive
349,negative
2772,positive
1783,negative
1457,neutral
3821,positive
2732,neutral
1035,positive
580,neutral
1057,positive
4861,positive
1872,neutral
4700,negative
2000,positive
1129,negative
1901,positive
466,positive
4855,negative
555,positive
172,positive
2783,negative
3408,positive
519,positive
2840,negative
3058,negative
3634,positive
4270,positive
2738,neutral
3505,negative
2548,negative
2626,positive
195,negative
3013,positive
1565,negative
2658,neutral
3021,positive
2434,positive
4495,positive
4330,negative
3723,negative
1599,neutral
3549,negative
1328,positive
3935,negative
306,positive
1136,positive
1528,negative
3668,negative
4617,positive
1632,positive
3156,positive
4817,positive
4916,negative
2633,negative
4599,neutral
1877,positive
1798,positive
3693,neutral
4611,positive
4524,neutral
4145,neutral
4609,positive
2361,neutral
1801,positive
3052,negative
1356,negative
1977,negative
847,neutral
3980,negative
1648,positive
3317,neutral
4620,positive
1304,positive
4773,positive
1613,positive
617,neutral
3460,neutral
1430,positive
1758,positive
276,positive
4591,positive
2056,neutral
668,negative
808,negative
1843,positive
385,negative
2371,neutral
1353,positive
266,positive
1372,negative
1923,positive
659,positive
3051,negative
843,positive
1016,neutral
1475,positive
719,negative
4297,negative
1721,positive
4724,positive
4351,positive
5014,positive
1602,negative
1272,positive
3547,negative
2803,positive
1078,negative
2689,negative
4410,positive
1911,neutral
2465,positive
2027,positive
5082,negative
2505,positive
3914,positive
1866,neutral
4789,positive
4677,positive
706,positive
1995,positive
4463,neutral
960,negative
198,neutral
1513,negative
255,negative
3752,neutral
4098,neutral
2331,positive
3119,neutral
3272,positive
2901,positive
1970,positive
615,positive
1214,positive
181,neutral
2605,negative
4230,positive
3043,neutral
977,positive
2561,neutral
1522,positive
4352,negative
524,positive
4791,positive
1646,positive
108,neutral
2055,neutral
3499,negative
3615,neutral
3406,neutral
2435,neutral
4731,positive
4590,positive
4747,positive
5023,positive
1662,neutral
3614,positive
728,positive
1556,positive
1180,neutral
3501,negative
2454,neutral
3541,positive
4046,negative
1455,negative
2972,positive
1390,neutral
3303,positive
1674,neutral
3240,positive
3419,negative
4903,negative
1065,positive
891,positive
4507,neutral
875,negative
3330,neutral
39,neutral
257,positive
1992,negative
1274,positive
678,neutral
883,negative
2745,neutral
4494,negative
4566,neutral
922,negative
502,neutral
1617,positive
902,positive
657,negative
2054,neutral
3369,positive
406,positive
2778,positive
2106,positive
4331,negative
1886,negative
3737,positive
289,positive
554,positive
3332,negative
1461,positive
4669,neutral
791,positive
3299,neutral
3610,positive
845,positive
4549,positive
68,positive
1508,negative
210,positive
1924,negative
529,negative
4874,negative
3198,positive
1964,neutral
4776,positive
1517,negative
5106,negative
1447,positive
1548,negative
1641,positive
1188,neutral
2017,positive
2655,neutral
2091,negative
1537,negative
2984,neutral
4343,negative
2762,neutral
3494,positive
911,neutral
3669,negative
4362,negative
3662,negative
541,positive
903,positive
4005,negative
4760,neutral
666,positive
1397,neutral
3497,positive
4209,positive
3857,positive
3685,neutral
1722,neutral
489,negative
2990,positive
866,negative
2916,neutral
1233,positive
2643,negative
4214,positive
268,positive
3611,positive
1750,positive
2957,neutral
3435,negative
4243,positive
920,negative
1796,positive
3704,positive
4081,positive
3536,negative
1350,positive
4565,positive
2108,positive
3453,negative
1940,negative
1468,positive
4676,positive
2788,neutral
254,negative
1647,positive
3779,negative
2986,positive
4576,positive
3770,negative
4775,positive
164,negative
4108,neutral
4462,neutral
2593,positive
318,negative
3042,neutral
4799,neutral
4358,positive
1567,positive
1824,positive
329,positive
1983,positive
1278,neutral
1330,positive
4021,positive
520,positive
1694,negative
1904,neutral
2775,positive
3079,negative
163,positive
4770,positive
1112,positive
3140,negative
5038,positive
3163,neutral
695,positive
196,negative
5041,positive
291,positive
3754,positive
1580,positive
335,neutral
4002,negative
171,positive
1878,negative
1947,negative
4022,positive
1519,positive
569,positive
2562,positive
822,positive
2452,neutral
3493,positive
1853,neutral
1882,positive
2636,neutral
501,positive
864,positive
2863,positive
2853,positive
3534,negative
584,positive
3633,positive
2646,neutral
5002,negative
4682,positive
46,neutral
1952,negative
712,positive
4047,neutral
4505,positive
2858,positive
2012,neutral
3524,negative
4003,negative
896,positive
2602,negative
4384,negative
4256,positive
908,negative
4491,positive
4787,positive
117,neutral
2674,negative
4253,positive
290,positive
968,positive
1552,positive
438,positive
4927,positive
1933,positive
4991,positive
2999,positive
500,positive
3206,positive
3506,positive
1398,positive
3829,neutral
1639,positive
1850,neutral
653,positive
644,positive
3389,positive
3583,negative
4783,positive
768,negative
3904,positive
2128,negative
4029,positive
648,neutral
572,positive
2127,negative
2770,positive
1862,neutral
750,negative
2547,negative
3411,negative
3047,negative
1298,positive
1927,negative
2380,positive
4847,negative
2093,positive
2448,neutral
521,positive
742,positive
1153,neutral
654,positive
2493,positive
4618,positive
4250,positive
983,positive
616,positive
4886,positive
1764,positive
2366,neutral
4836,negative
2905,positive
3063,neutral
94,positive
1466,positive
2890,negative
1085,positive
4698,neutral
1572,negative
928,negative
3144,positive
5090,positive
1651,positive
1119,positive
1919,negative
2508,positive
1324,positive
2690,negative
3600,positive
1683,positive
1427,positive
1198,positive
2750,positive
2898,negative
3382,positive
488,positive
1731,positive
4011,positive
498,positive
3660,positive
58,positive
806,positive
3899,positive
907,positive
403,positive
4798,neutral
484,negative
3577,neutral
1051,neutral
4024,positive
3352,positive
4877,positive
5040,positive
597,negative
430,negative
1921,positive
890,positive
2326,negative
3732,negative
1725,positive
2142,positive
2036,positive
865,neutral
3592,positive
477,positive
1087,negative
3854,negative
3673,neutral
2438,positive
3251,positive
3099,positive
1303,positive
2731,neutral
4850,negative
4635,neutral
4412,positive
3445,negative
299,positive
2333,negative
1702,positive
4492,positive
3586,positive
3041,neutral
5077,negative
4596,negative
2157,neutral
1832,negative
3442,positive
457,negative
4633,positive
3087,negative
3641,positive
3925,neutral
3728,negative
2933,neutral
3167,negative
230,positive
3270,positive
449,neutral
884,negative
888,positive
3400,positive
957,negative
1091,positive
4150,neutral
3561,positive
4489,positive
4236,positive
1585,positive
1902,negative
667,negative
4834,negative
951,negative
3414,negative
3942,negative
675,positive
3275,positive
26,neutral
4781,negative
2064,negative
4657,neutral
826,negative
4067,negative
816,positive
1210,positive
1429,positive
2787,neutral
3039,positive
2502,positive
1026,neutral
1994,negative
112,positive
1993,positive
869,negative
3452,negative
460,negative
1387,positive
3602,neutral
2321,positive
3870,positive
2735,positive
2627,positive
1628,positive
336,positive
137,positive
710,positive
205,negative
2691,negative
1601,positive
1893,negative
1394,neutral
1761,negative
4608,positive
4793,positive
215,positive
1395,positive
3537,neutral
1682,positive
1222,positive
2685,negative
2686,positive
396,neutral
2786,neutral
3455,positive
4544,negative
4212,positive
5057,positive
3776,negative
2590,positive
1045,neutral
1040,positive
2124,negative
940,positive
2830,positive
4370,negative
325,positive
2069,negative
4646,negative
1631,positive
3798,positive
5017,positive
142,neutral
1558,positive
4848,negative
3799,positive
3785,negative
606,negative
705,positive
2340,negative
3807,neutral
3232,positive
2781,positive
140,neutral
1144,neutral
1800,neutral
637,neutral
156,positive
2970,neutral
1247,negative
1987,positive
3170,negative
4087,negative
1606,positive
3959,positive
97,negative
1499,positive
1611,positive
1249,positive
2628,positive
2008,positive
1389,negative
2444,positive
980,positive
213,positive
1749,positive
1221,positive
3487,positive
3464,negative
5031,positive
2741,negative
292,positive
4528,positive
2428,positive
4399,positive
42,positive
1867,positive
836,negative
624,positive
1615,positive
4436,positive
1926,negative
2784,neutral
2967,positive
4794,negative
4171,positive
87,negative
5029,positive
2816,negative
2801,negative
3077,negative
104,neutral
344,negative
229,positive
2607,positive
1064,positive
4894,positive
4326,positive
4654,neutral
1870,neutral
2384,positive
4594,positive
3401,negative
4387,negative
2369,neutral
3664,negative
3595,positive
1012,neutral
4786,positive
828,neutral
3390,positive
974,positive
69,negative
2982,negative
243,neutral
5036,positive
4705,negative
4506,positive
1380,negative
1790,positive
2820,positive
321,positive
1207,positive
1365,negative
2118,negative
1703,negative
1068,neutral
1579,neutral
2804,neutral
1792,positive
4519,positive
3337,negative
4091,neutral
1121,positive
804,positive
96,positive
1485,negative
2463,negative
1577,negative
3343,positive
774,positive
1856,negative
3263,positive
693,neutral
1642,positive
2668,negative
3220,positive
14,positive
1500,positive
1566,negative
1217,positive
1752,positive
2748,positive
3667,negative
3473,positive
1058,neutral
2065,positive
2979,neutral
4885,negative
868,neutral
382,negative
1960,positive
4559,positive
770,positive
3384,neutral
2572,neutral
2168,positive
508,positive
3750,negative
1438,positive
3073,neutral
1576,negative
155,neutral
645,positive
2946,positive
2439,neutral
1307,negative
3482,negative
1299,positive
5111,positive
493,positive
3533,neutral
4254,positive
4503,positive
2799,positive
753,neutral
820,positive
1154,positive
4573,positive
4661,positive
1863,positive
2441,positive
3941,negative
300,positive
3342,positive
763,positive
1348,positive
3755,negative
4639,negative
4259,positive
5004,negative
3907,positive
4820,negative
328,positive
2854,positive
1693,negative
3858,positive
4053,neutral
1637,positive
5033,positive
4574,positive
4,positive
2137,positive
4423,negative
3182,positive
2806,positive
1284,neutral
2728,neutral
3083,negative
2101,positive
3500,positive
2798,positive
2904,neutral
4388,negative
1414,positive
122,positive
2345,negative
2851,positive
4269,negative
2460,positive
3219,positive
154,positive
476,positive
4784,neutral
1817,positive
611,positive
3877,positive
2843,negative
3554,negative
2006,positive
4982,negative
1165,neutral
4353,positive
1666,positive
621,neutral
144,positive
852,positive
800,positive
416,positive
2143,neutral
1634,positive
4562,negative
4520,positive
4189,positive
749,negative
4797,negative
5103,positive
3510,positive
3076,neutral
4615,positive
582,neutral
3838,negative
1120,positive
4622,negative
1220,neutral
1569,positive
4113,neutral
4613,positive
1584,positive
2362,negative
588,neutral
4027,positive
2723,neutral
2058,neutral
906,negative
4711,negative
2800,positive
282,positive
3522,negative
27,neutral
2753,positive
3552,positive
1780,negative
3412,negative
3528,positive
2311,neutral
1931,positive
1449,positive
1092,positive
1864,positive
1266,negative
1595,positive
701,negative
1331,negative
4811,positive
4818,negative
1845,positive
1416,positive
4180,negative
2163,negative
260,negative
116,neutral
3173,positive
3068,positive
3975,neutral
3523,neutral
4643,positive
568,negative
1406,positive
4093,positive
136,neutral
3989,negative
656,negative
124,positive
2542,positive
1630,positive
25,neutral
1237,positive
2766,negative
788,neutral
973,positive
1802,positive
4265,negative
4110,neutral
5009,positive
21,positive
5071,neutral
4586,positive
4090,neutral
1036,positive
302,negative
1063,positive
1459,positive
2587,positive
1686,positive
4665,neutral
3844,neutral
2045,positive
1279,neutral
3516,positive
614,neutral
1370,positive
3421,positive
4420,negative
2677,positive
356,neutral
2734,neutral
1781,neutral
4143,neutral
634,positive
284,positive
4707,neutral
4515,neutral
106,neutral
543,negative
2471,positive
2758,positive
473,negative
1411,positive
3517,positive
1559,positive
1473,positive
2710,neutral
1193,neutral
4715,negative
1216,positive
2744,positive
1980,positive
1008,positive
1116,positive
5022,negative
984,neutral
1837,neutral
2464,negative
769,positive
3095,negative
3180,neutral
900,positive
1433,positive
222,positive
2826,positive
3928,positive
1934,positive
1956,positive
2987,positive
1714,neutral
2132,positive
233,positive
178,positive
1539,positive
2529,positive
3981,negative
4759,positive
320,negative
184,neutral
1715,positive
1363,negative
3587,positive
2068,negative
3290,positive
5,positive
2795,positive
1625,positive
3259,positive
334,negative
3814,positive
312,negative
2829,neutral
3316,neutral
4125,negative
4425,neutral
115,positive
4205,negative
490,positive
478,positive
3294,positive
145,positive
1419,neutral
1309,negative
4772,positive
1706,positive
3211,positive
736,positive
1603,neutral
4007,negative
3372,positive
3563,negative
575,negative
1581,neutral
2555,positive
2099,negative
2598,positive
3122,positive
297,negative
813,positive
4102,neutral
4394,negative
1396,negative
1650,positive
3784,negative
4444,positive
1218,negative
2726,neutral
241,positive
818,negative
2969,positive
1779,negative
4511,positive
4341,positive
2978,positive
1426,positive
1156,negative
4312,positive
943,negative
4348,neutral
2807,positive
3653,positive
1509,neutral
2153,neutral
827,positive
713,positive
2586,negative
1540,negative
3395,positive
1990,positive
762,positive
2575,positive
3367,positive
3874,positive
445,positive
1489,positive
2672,negative
838,negative
1487,positive
4374,positive
1512,negative
3244,positive
