guid,label
3755,negative
1173,positive
1585,positive
2161,positive
1734,negative
4580,positive
3575,negative
65,positive
3529,neutral
2933,neutral
3534,negative
5108,negative
643,positive
4850,negative
2332,positive
2571,positive
3358,negative
3433,negative
4805,positive
3508,negative
1932,negative
683,positive
4359,negative
3322,positive
3947,negative
3969,positive
4895,positive
1644,positive
614,neutral
4384,negative
4137,positive
323,negative
2431,positive
4263,positive
3970,positive
1716,positive
2746,negative
2560,positive
4798,neutral
4028,positive
4770,positive
5067,negative
1326,positive
879,positive
2832,neutral
1086,positive
3612,neutral
517,positive
3137,negative
3370,negative
4860,positive
1830,positive
2838,positive
4599,neutral
3511,negative
239,positive
5086,negative
1337,positive
1304,positive
3276,positive
2854,positive
1083,positive
2057,negative
4943,negative
863,neutral
1838,negative
3870,positive
696,positive
3435,negative
4068,positive
4880,negative
2025,negative
4416,negative
1558,positive
757,positive
2928,positive
173,positive
4149,positive
4388,negative
4497,positive
4061,negative
1348,positive
4269,negative
2716,positive
4782,positive
3071,positive
3036,positive
4444,positive
4718,negative
1029,positive
4050,negative
4966,negative
3211,positive
1048,positive
22,negative
1263,negative
1322,positive
1289,positive
922,negative
3628,positive
4878,negative
3472,positive
2712,negative
2997,positive
3108,negative
1343,positive
176,positive
3386,positive
4813,neutral
4755,negative
1798,positive
4712,negative
1467,positive
2806,positive
1557,positive
5083,negative
2948,negative
1418,negative
648,neutral
3672,positive
1976,positive
987,positive
4609,positive
2014,positive
4740,positive
2592,positive
4433,negative
892,positive
837,negative
4194,negative
101,positive
2118,negative
3594,positive
89,positive
960,negative
916,positive
141,positive
3688,positive
5085,positive
1645,positive
2589,positive
312,negative
4794,negative
4708,negative
1158,negative
856,negative
4286,positive
1011,positive
1372,negative
3034,positive
2844,negative
4381,negative
2782,positive
4923,negative
5010,positive
4513,positive
566,negative
171,positive
717,positive
917,positive
2105,negative
503,positive
3429,negative
289,positive
4426,positive
3909,positive
2591,positive
3031,positive
3045,positive
2474,negative
2027,positive
1454,positive
4937,positive
4510,positive
3951,negative
3593,positive
159,negative
3301,positive
909,negative
3525,positive
2974,positive
2884,positive
1137,positive
2314,positive
664,negative
120,positive
3106,negative
188,negative
2451,negative
1547,negative
3490,positive
2546,positive
1120,positive
4473,positive
1296,negative
4946,positive
1536,positive
4083,positive
1075,positive
914,positive
448,negative
1873,negative
2634,positive
1783,negative
1563,positive
4212,positive
3983,positive
542,negative
3368,positive
1160,positive
1735,negative
4614,positive
3434,negative
3545,negative
2811,positive
2605,negative
1180,neutral
3214,positive
3249,positive
1064,positive
2478,negative
1057,positive
153,negative
471,positive
4772,positive
4889,positive
4227,positive
2970,neutral
724,positive
5014,positive
689,negative
459,negative
1855,negative
1104,neutral
2925,neutral
823,positive
4918,negative
142,neutral
1132,positive
1317,positive
4067,negative
2004,positive
3875,negative
4991,positive
3257,negative
3215,positive
4466,positive
3161,positive
3478,negative
2051,positive
1100,positive
4545,neutral
2438,positive
4653,negative
2491,positive
3771,negative
1102,negative
4501,positive
2621,positive
981,positive
4437,positive
1371,positive
894,positive
2976,negative
4052,positive
1950,negative
1749,positive
1176,positive
656,negative
1812,negative
366,positive
3346,negative
4624,negative
2907,positive
53,positive
4186,neutral
5045,positive
763,positive
988,positive
1699,neutral
3785,negative
839,positive
2496,negative
5128,positive
2994,positive
2089,positive
3844,neutral
1785,negative
4573,positive
2139,positive
1960,positive
3536,negative
1106,positive
2028,positive
3587,positive
495,positive
2723,neutral
4013,negative
5074,negative
1711,positive
2050,positive
1128,positive
2791,positive
356,neutral
5077,negative
3004,positive
3696,positive
1499,positive
4328,positive
2100,negative
2883,positive
3341,positive
687,negative
3903,positive
222,positive
372,positive
1764,positive
2747,negative
4169,positive
134,negative
385,negative
1613,positive
2084,positive
1182,positive
2871,positive
2853,positive
1135,positive
950,positive
2654,negative
4952,positive
1269,negative
2793,neutral
2971,positive
3366,positive
1168,positive
2504,positive
2573,positive
3151,positive
130,negative
1804,positive
2382,positive
267,positive
2567,negative
486,negative
966,positive
275,positive
2607,positive
2073,negative
1507,negative
4360,negative
634,positive
3216,positive
1324,positive
2583,positive
3681,positive
3503,positive
1516,negative
2730,neutral
4637,positive
2848,negative
3530,positive
4876,negative
384,negative
963,positive
1697,negative
3703,neutral
1797,positive
4081,positive
3701,positive
1093,positive
4075,positive
4285,positive
2040,negative
3645,positive
4678,positive
1177,positive
1366,positive
4663,positive
5075,negative
3576,positive
5039,positive
1958,negative
4344,positive
4628,positive
4112,positive
1826,positive
2501,positive
4717,negative
945,positive
1134,positive
3299,neutral
492,positive
2041,positive
3328,positive
822,positive
3509,negative
898,positive
3127,positive
2526,negative
427,positive
423,positive
3936,positive
4025,positive
4005,negative
1924,negative
4994,negative
3680,positive
4505,positive
92,positive
2890,negative
2356,negative
2106,positive
1489,positive
4427,negative
3768,negative
1392,positive
4103,positive
1530,negative
2023,positive
2703,negative
3646,positive
1639,positive
4276,positive
2156,negative
2034,positive
1770,negative
4775,positive
156,positive
2814,positive
1775,negative
1175,positive
2157,neutral
931,negative
359,positive
207,positive
82,positive
2774,negative
4598,negative
742,positive
2960,negative
1940,negative
4811,positive
3058,negative
2861,positive
1696,positive
1223,positive
4692,positive
4085,neutral
2743,negative
4727,positive
1856,negative
2898,negative
2958,neutral
1880,positive
6,positive
2555,positive
2786,neutral
237,positive
2430,positive
4203,negative
4905,negative
1408,positive
4314,positive
1852,positive
285,negative
115,positive
1566,negative
3332,negative
3382,positive
904,positive
4569,negative
1637,positive
4606,negative
2459,neutral
1433,positive
2015,negative
311,positive
789,positive
814,positive
3297,positive
1230,positive
280,negative
1252,negative
3786,negative
4615,positive
752,neutral
1823,negative
3595,positive
105,neutral
891,positive
3630,positive
3730,positive
3497,positive
2439,neutral
754,positive
70,positive
4713,positive
3783,positive
609,neutral
5092,negative
2111,neutral
395,positive
1653,positive
2776,positive
1063,positive
4462,neutral
4288,positive
4170,negative
3961,positive
812,positive
196,negative
4346,negative
1591,positive
774,positive
4518,positive
74,positive
2369,neutral
3307,negative
4632,negative
574,negative
49,positive
3213,negative
1395,positive
971,positive
30,negative
5081,negative
3457,positive
884,negative
396,neutral
846,positive
1910,negative
4511,positive
4647,negative
2323,positive
4464,negative
2427,positive
2819,positive
1999,positive
4206,positive
2047,positive
4670,positive
2801,negative
2331,positive
2086,positive
4114,negative
2360,negative
1084,positive
4630,neutral
1243,positive
1840,negative
2102,neutral
2359,negative
1116,positive
2568,positive
2862,neutral
4125,negative
3664,negative
1521,positive
2929,negative
103,positive
3002,negative
3267,neutral
2596,positive
3361,positive
2660,positive
4912,positive
1668,positive
3072,neutral
611,positive
4626,positive
3479,positive
1706,positive
3819,negative
2628,positive
1153,neutral
606,negative
3406,neutral
2975,negative
5062,negative
870,neutral
3464,negative
3764,positive
2675,negative
2843,negative
4664,positive
2506,positive
4787,positive
2152,positive
3424,negative
3992,negative
3791,positive
2372,positive
1824,positive
4043,positive
286,positive
2603,negative
2981,neutral
1250,negative
4041,positive
3553,negative
4834,negative
2672,negative
5009,positive
1209,positive
491,positive
853,positive
4056,negative
4797,negative
4826,negative
3440,positive
3098,positive
1018,positive
2689,negative
2599,neutral
1035,positive
32,positive
1276,positive
4887,negative
1222,positive
2442,positive
338,positive
1828,positive
1849,positive
87,negative
1790,positive
510,positive
7,positive
2379,neutral
3763,positive
4671,neutral
1239,positive
4817,positive
3040,negative
91,positive
276,positive
1503,positive
2673,negative
2711,positive
869,negative
3987,positive
4751,positive
560,positive
2063,negative
4477,positive
4962,positive
2038,neutral
829,positive
603,positive
1640,positive
911,neutral
100,positive
3395,positive
490,positive
1391,positive
630,positive
974,positive
3732,negative
2753,positive
1835,negative
3713,positive
4575,positive
1194,positive
1573,negative
3510,positive
4130,neutral
4646,negative
5008,positive
5048,positive
2841,negative
2685,negative
3747,positive
231,positive
3400,positive
5096,negative
3303,positive
1287,positive
3294,positive
2609,positive
4704,positive
1281,negative
4536,positive
5125,positive
669,neutral
420,positive
4102,neutral
1589,negative
5106,negative
5041,positive
3220,positive
3874,positive
1147,negative
433,neutral
2926,positive
3296,positive
4651,positive
4812,neutral
2701,positive
60,positive
4187,positive
2384,positive
1471,neutral
3708,positive
2602,negative
3494,positive
3282,positive
3527,positive
3965,positive
327,negative
541,positive
1027,negative
2147,negative
2091,negative
3460,neutral
1208,positive
3719,negative
4211,negative
890,positive
265,positive
489,negative
1905,neutral
1970,positive
2686,positive
3033,positive
2001,negative
1206,positive
1513,negative
671,negative
3521,positive
3864,positive
1705,negative
1954,positive
3910,positive
3601,positive
3557,negative
4950,positive
3237,positive
2498,positive
1013,positive
2334,negative
3417,negative
3244,positive
1202,negative
3378,positive
3573,positive
4856,negative
2687,neutral
3913,positive
2661,positive
3866,neutral
1973,positive
4584,negative
4774,positive
3673,neutral
168,positive
440,positive
2514,negative
1884,neutral
788,neutral
2865,negative
3374,neutral
1188,neutral
3037,positive
215,positive
4657,neutral
33,neutral
4920,positive
3414,negative
2455,negative
1929,negative
4583,positive
2376,positive
728,positive
5056,positive
3394,negative
2663,negative
1901,positive
525,positive
4015,positive
4174,positive
1540,negative
1948,negative
1430,positive
146,neutral
253,negative
3582,positive
2012,neutral
2709,positive
1244,positive
4386,negative
3076,neutral
1136,positive
3265,positive
2785,positive
3404,positive
3793,negative
3889,positive
5000,negative
45,positive
651,positive
4244,positive
294,positive
3147,negative
690,negative
539,negative
3448,negative
3121,positive
3616,negative
3201,positive
3898,positive
1988,positive
4055,positive
1271,positive
4406,positive
4105,neutral
2676,positive
1763,positive
4911,neutral
3175,negative
5123,negative
2403,negative
1647,positive
1216,positive
4710,negative
1755,negative
4334,positive
204,negative
2604,positive
3858,positive
1095,positive
3167,negative
4627,negative
288,positive
3670,negative
4199,positive
703,negative
1982,positive
28,positive
4655,positive
1989,positive
3162,positive
2002,negative
575,negative
3873,positive
2860,positive
1300,positive
3821,positive
4474,negative
982,positive
3412,negative
2855,positive
2492,positive
3621,positive
4272,positive
1259,positive
4092,neutral
885,positive
4731,positive
4881,positive
2128,negative
3953,negative
3489,positive
2540,positive
2087,negative
4933,negative
4941,positive
1825,positive
281,positive
1612,positive
250,negative
4854,negative
1767,positive
4373,positive
1254,negative
3224,negative
2935,neutral
3982,positive
751,positive
4017,positive
1629,positive
3101,positive
1130,positive
411,positive
3485,positive
354,negative
3638,positive
711,positive
4470,negative
1538,negative
627,neutral
4930,positive
1969,neutral
1689,negative
26,neutral
615,positive
2829,neutral
1306,neutral
1966,positive
2313,negative
4968,positive
1309,negative
4951,positive
4361,positive
3017,neutral
3968,negative
2913,negative
3090,negative
4440,negative
4970,positive
2977,positive
2532,positive
3591,neutral
252,positive
2018,positive
2813,positive
3531,positive
322,positive
4018,positive
1586,positive
1273,positive
4932,neutral
4154,negative
3056,neutral
1282,neutral
438,positive
5118,positive
4777,positive
4301,negative
1930,positive
1377,positive
1501,positive
2125,negative
3069,positive
2613,positive
4868,positive
548,positive
4828,positive
4927,positive
4945,positive
1026,neutral
4993,positive
699,negative
2734,neutral
3052,negative
4096,positive
2075,negative
1866,neutral
1892,negative
3316,neutral
3300,negative
331,negative
4324,positive
2373,positive
381,positive
2897,positive
1098,positive
1819,negative
4062,negative
4478,negative
4026,positive
3872,positive
1461,positive
3822,positive
4454,positive
126,positive
4689,positive
3393,positive
2987,positive
2788,neutral
2956,positive
4492,positive
1015,positive
1980,positive
1143,positive
307,positive
1285,positive
571,positive
3027,positive
4529,positive
4688,negative
3176,positive
3888,positive
3973,positive
1681,negative
3949,negative
2641,negative
1280,positive
636,negative
1007,positive
3219,positive
3022,positive
3939,positive
73,neutral
370,negative
2493,positive
900,positive
216,positive
720,neutral
1178,positive
191,positive
3957,positive
417,positive
4357,negative
584,positive
2311,neutral
4667,positive
1630,positive
4182,negative
1747,positive
2017,positive
2952,positive
1363,negative
361,negative
2894,positive
2032,positive
1475,positive
3838,negative
4123,positive
3421,positive
284,positive
3796,positive
2840,negative
4439,positive
2610,positive
2368,positive
979,positive
1875,negative
4987,positive
4341,positive
3317,neutral
3725,positive
1061,negative
500,positive
2833,neutral
4709,positive
1686,positive
293,positive
1191,positive
4882,positive
2627,positive
18,positive
871,negative
4316,positive
4148,neutral
936,neutral
817,positive
2965,positive
425,negative
2126,negative
3340,positive
1352,positive
2542,positive
2817,negative
3498,positive
2694,positive
2383,positive
1703,negative
1978,negative
1480,negative
1955,negative
4311,positive
3141,negative
712,positive
3930,positive
865,neutral
4528,positive
4648,positive
4601,negative
1984,positive
4318,positive
1968,positive
1894,negative
1249,positive
1977,negative
2490,positive
4980,negative
1893,negative
1457,neutral
3863,positive
3057,positive
2878,positive
4764,negative
1673,positive
128,positive
3194,positive
4891,positive
316,negative
1283,positive
1683,positive
3604,positive
1588,positive
1551,neutral
576,positive
4023,positive
1913,negative
5025,negative
4100,neutral
181,neutral
2995,positive
1821,positive
2725,neutral
1908,negative
3461,positive
3284,negative
3488,negative
1792,positive
3599,neutral
997,positive
1878,negative
1580,positive
784,negative
1739,negative
1267,positive
3441,positive
4981,negative
3210,negative
3377,neutral
3596,positive
2696,neutral
532,positive
221,positive
3319,positive
444,positive
3043,neutral
219,neutral
2809,negative
1603,neutral
4681,positive
3651,positive
3617,neutral
2636,neutral
3080,negative
1497,positive
3502,positive
2930,positive
1841,negative
4296,negative
4924,negative
2472,positive
4836,negative
978,positive
4280,positive
3787,negative
2010,positive
4260,positive
474,positive
3715,positive
1553,positive
5078,negative
3446,positive
688,positive
4356,negative
308,positive
454,negative
4809,positive
5120,positive
1522,positive
4325,negative
2333,negative
3515,negative
722,positive
3837,positive
3442,positive
872,positive
3389,positive
3979,negative
4262,negative
3046,positive
3800,negative
2966,positive
1022,negative
1,positive
4463,neutral
1148,positive
3212,neutral
1986,positive
437,neutral
5079,positive
3164,negative
2887,negative
1802,positive
732,negative
3697,positive
1005,negative
445,positive
259,positive
4160,negative
3563,negative
1397,neutral
3811,positive
5082,negative
3855,positive
2444,positive
1477,positive
5051,positive
2363,negative
3948,negative
2165,neutral
2336,positive
4789,positive
1625,positive
1438,positive
4449,negative
1723,positive
590,positive
2822,positive
4734,positive
3505,negative
4139,negative
2845,positive
511,neutral
2078,negative
1861,positive
3262,positive
4336,positive
1350,positive
1991,positive
4305,positive
4771,positive
3686,positive
4441,negative
4111,neutral
1237,positive
3142,positive
336,positive
3860,positive
2769,positive
929,negative
3397,positive
4675,positive
1744,positive
2042,positive
148,positive
4765,neutral
3139,negative
2713,neutral
521,positive
2074,positive
3079,negative
5072,negative
2513,positive
4957,positive
581,neutral
436,neutral
2124,negative
2790,neutral
165,neutral
3974,positive
4649,positive
780,neutral
3085,positive
655,positive
828,neutral
1396,negative
2144,positive
260,negative
300,positive
700,negative
2556,positive
3059,positive
3984,negative
4591,positive
4323,positive
682,positive
577,positive
3338,positive
3484,positive
533,positive
56,neutral
2946,positive
1463,positive
662,positive
4181,positive
2972,positive
1262,positive
2896,negative
3695,negative
787,positive
3229,positive
3330,neutral
1288,negative
3348,positive
5030,positive
741,positive
3333,neutral
4635,neutral
1144,neutral
2985,neutral
4133,positive
5060,positive
2728,neutral
2447,neutral
540,positive
5119,positive
4761,positive
583,positive
1416,positive
1054,positive
976,positive
406,positive
4035,negative
78,positive
1846,neutral
255,negative
818,negative
3620,neutral
4247,positive
3170,negative
4040,positive
783,negative
1179,neutral
715,positive
2891,positive
989,positive
2107,negative
4697,positive
4959,positive
3807,neutral
2064,negative
4506,positive
1312,positive
1042,neutral
3286,positive
1265,negative
4077,positive
3769,negative
4499,positive
4362,negative
4852,negative
3935,negative
4748,positive
390,negative
2879,positive
677,positive
1842,positive
3661,negative
3633,positive
68,positive
3632,positive
3430,negative
3486,positive
1511,neutral
4313,positive
3549,negative
3533,neutral
2954,positive
4217,positive
882,negative
1327,negative
2543,positive
2945,negative
2867,positive
3944,negative
710,positive
1275,positive
1419,neutral
4874,negative
2569,positive
1500,positive
2812,negative
4921,negative
1374,positive
4622,negative
1045,neutral
1331,negative
1626,positive
3723,negative
568,negative
4267,negative
2798,positive
4593,negative
1581,neutral
345,negative
475,positive
5110,negative
4958,negative
1421,positive
4546,positive
3682,positive
2020,positive
2830,positive
2626,positive
4337,negative
2619,negative
299,positive
3790,positive
4897,positive
3136,negative
3354,negative
42,positive
2614,positive
1428,positive
2322,positive
2005,neutral
3418,positive
705,positive
1784,negative
3504,positive
2903,neutral
2058,neutral
561,positive
2810,negative
158,negative
4715,negative
213,positive
4587,negative
1710,negative
3078,negative
4042,positive
2374,neutral
2745,neutral
329,positive
249,negative
1398,positive
3602,neutral
3972,positive
1089,neutral
3236,positive
3975,neutral
708,neutral
4515,neutral
3289,positive
4866,negative
3252,positive
1256,positive
4561,positive
2964,positive
3676,positive
208,negative
1346,positive
798,positive
2760,positive
2330,negative
1562,positive
1860,positive
3916,negative
212,positive
4538,positive
1247,negative
537,positive
589,negative
4929,negative
4,positive
4652,negative
4298,negative
1993,positive
4871,positive
967,negative
349,negative
3825,negative
3408,positive
2885,negative
3611,positive
3499,negative
2561,neutral
429,positive
4625,neutral
3802,positive
4554,positive
4257,positive
4367,negative
2429,negative
4428,negative
4862,positive
842,positive
2623,positive
3964,positive
3840,positive
3102,positive
1459,positive
1997,positive
4008,negative
2452,neutral
1351,positive
1469,positive
4021,positive
4274,negative
2529,positive
3581,negative
3816,positive
4484,positive
4430,negative
3001,positive
3843,positive
2826,positive
4291,negative
4456,negative
2740,positive
559,negative
4302,positive
4576,positive
1149,positive
746,positive
3748,positive
4931,positive
3691,positive
1431,positive
4503,positive
4619,positive
4003,negative
3363,positive
2856,positive
2497,positive
2367,neutral
4884,negative
3350,positive
972,negative
506,positive
1867,positive
558,negative
189,negative
330,neutral
940,positive
2133,positive
1871,neutral
2016,neutral
109,positive
3385,positive
3659,negative
4175,positive
1426,positive
3173,positive
3689,neutral
3149,positive
649,positive
4869,positive
3901,negative
753,neutral
1069,negative
1094,positive
2509,positive
1406,positive
3915,negative
2706,negative
4978,positive
3662,negative
4483,positive
4471,negative
782,negative
1590,negative
4210,negative
4113,neutral
1129,negative
1907,positive
1728,positive
2488,positive
3013,positive
1777,negative
4910,positive
3420,negative
4452,negative
1593,negative
248,negative
791,positive
4916,negative
2953,positive
476,positive
3958,negative
378,positive
2531,positive
2067,negative
3048,negative
1425,positive
4815,negative
1060,negative
2655,neutral
172,positive
3195,negative
848,neutral
2690,negative
3829,neutral
2465,positive
4343,negative
570,positive
1307,negative
1921,positive
5100,positive
31,positive
811,positive
726,positive
1758,positive
704,positive
4153,negative
679,positive
1694,negative
3758,positive
4691,positive
2357,positive
2031,positive
3932,positive
48,positive
2053,positive
920,negative
2886,positive
5015,positive
1922,positive
2902,positive
4610,positive
4604,positive
4597,negative
850,positive
949,positive
3956,negative
4972,positive
1833,positive
2404,negative
1748,positive
4595,positive
306,positive
3627,positive
3143,positive
2575,positive
3107,negative
3100,positive
3196,positive
4329,positive
3950,negative
1266,negative
498,positive
358,neutral
3933,negative
261,positive
692,positive
536,positive
546,neutral
1582,positive
2159,positive
852,positive
5064,negative
3721,negative
1822,negative
123,positive
980,positive
4422,negative
592,positive
4207,positive
1925,positive
10,negative
1649,neutral
3619,positive
1959,negative
4521,positive
2155,positive
1407,positive
3329,neutral
1750,positive
2043,positive
2962,positive
3865,positive
725,positive
268,positive
5084,positive
1583,negative
4031,positive
747,positive
1520,negative
409,positive
5099,positive
2963,positive
3453,negative
2479,positive
1299,positive
3041,neutral
4432,positive
2912,positive
4877,positive
3914,positive
2371,neutral
2666,negative
2665,neutral
4049,positive
1123,negative
2751,positive
719,negative
2454,neutral
4265,negative
3852,positive
3986,negative
5002,negative
2803,positive
4184,negative
906,negative
579,positive
1189,positive
2389,neutral
932,positive
4467,negative
1157,negative
663,positive
1528,negative
781,positive
3287,positive
4259,positive
621,neutral
2030,positive
3500,positive
1985,positive
1334,positive
1769,negative
1174,negative
3904,positive
3200,positive
514,positive
230,positive
2325,positive
2815,positive
1643,positive
3240,positive
4079,negative
1702,positive
1052,negative
2578,negative
3187,negative
1715,positive
2551,negative
4658,negative
1446,positive
4638,positive
350,positive
2577,negative
4371,negative
4053,neutral
2717,neutral
859,positive
994,neutral
12,positive
1193,neutral
1445,negative
4563,neutral
4517,negative
3401,negative
554,positive
827,positive
3405,negative
4131,positive
1605,positive
3789,positive
5076,negative
1436,negative
1002,positive
1918,positive
504,positive
1567,positive
1720,positive
1607,negative
4215,positive
3928,positive
3622,positive
1139,negative
2973,positive
3428,positive
4824,negative
5124,negative
3655,negative
3067,positive
1709,positive
1738,negative
5044,positive
4243,positive
2988,neutral
1362,negative
1631,positive
4621,positive
1561,negative
4398,negative
3925,neutral
3880,negative
1305,negative
529,negative
2140,positive
1967,negative
1945,negative
1862,neutral
39,neutral
512,positive
3159,neutral
2424,positive
1704,positive
4158,negative
544,positive
588,neutral
3592,positive
993,neutral
587,neutral
4526,positive
5011,positive
2056,neutral
4975,positive
749,negative
1186,positive
1661,neutral
3458,positive
4623,negative
883,negative
3255,positive
886,negative
4564,positive
740,positive
4530,positive
4660,positive
457,negative
1726,positive
4352,negative
2715,positive
197,positive
1627,negative
2527,positive
1111,positive
4134,positive
1611,positive
2164,positive
3178,positive
4155,negative
2645,negative
1030,positive
2633,negative
921,negative
410,positive
3770,negative
4258,negative
140,neutral
3292,positive
347,negative
1587,positive
1487,positive
333,negative
973,positive
1898,positive
2013,negative
247,positive
1534,negative
2340,negative
1514,negative
526,positive
3513,negative
573,positive
1028,neutral
3767,positive
915,positive
1210,positive
2070,negative
1519,positive
3749,positive
761,positive
3091,positive
163,positive
1975,positive
3445,negative
2999,positive
5042,positive
4234,positive
81,positive
618,neutral
3977,negative
3934,negative
1357,positive
965,negative
4277,positive
3065,positive
3945,positive
2103,positive
2727,neutral
1632,positive
4722,positive
638,positive
3905,negative
508,positive
2386,positive
4051,positive
926,positive
3849,positive
4142,neutral
1679,positive
4520,positive
1020,positive
3155,negative
4322,positive
2085,positive
840,positive
1510,negative
3642,positive
3148,positive
4185,negative
3869,neutral
913,positive
1565,negative
731,negative
3995,positive
3548,positive
2476,negative
755,neutral
3380,neutral
4835,positive
1575,negative
809,positive
5094,negative
3600,positive
1839,negative
1455,negative
1303,positive
1225,positive
193,positive
3061,negative
693,neutral
4033,positive
1541,positive
4372,positive
2968,negative
3742,positive
4172,negative
739,positive
1886,negative
944,negative
3451,negative
4349,negative
3285,positive
3342,positive
4490,positive
1163,positive
164,negative
4413,negative
1662,neutral
67,positive
2132,positive
4205,negative
4873,negative
2990,positive
4778,positive
4195,negative
864,positive
2996,positive
1090,negative
2941,positive
4411,positive
4763,negative
4886,positive
99,positive
3496,negative
107,positive
4097,positive
4672,positive
3470,positive
4656,positive
1760,positive
1257,negative
4730,positive
1508,negative
1595,positive
174,positive
2932,positive
4982,negative
1707,negative
315,positive
4059,negative
5036,positive
3569,negative
2677,positive
3411,negative
435,positive
1831,positive
499,positive
139,positive
4442,negative
597,negative
2068,negative
3809,positive
2453,neutral
1729,positive
3321,positive
1635,negative
3637,positive
2362,negative
4588,positive
4634,positive
899,negative
1498,negative
1754,negative
2090,positive
5004,negative
680,negative
1712,negative
136,neutral
3988,negative
16,positive
3971,positive
3413,negative
4512,positive
4925,neutral
4201,negative
4589,positive
3799,positive
3047,negative
2708,neutral
1544,negative
4408,positive
1858,positive
2916,neutral
1125,neutral
4618,positive
1380,negative
1443,negative
3583,negative
4438,positive
3991,positive
3625,negative
416,positive
805,negative
106,neutral
628,negative
1687,positive
4321,positive
3144,positive
553,positive
3166,negative
4819,negative
1295,positive
1099,positive
1961,negative
1376,positive
673,positive
1399,negative
3466,positive
4516,positive
3648,positive
802,negative
1218,negative
2558,positive
102,positive
3009,positive
854,negative
125,positive
344,negative
2547,negative
1387,positive
2463,negative
4940,positive
1900,positive
201,negative
5097,positive
3577,neutral
127,positive
807,positive
4412,positive
2893,positive
1001,positive
1087,negative
4479,positive
4998,positive
1414,positive
1394,neutral
1776,negative
714,positive
600,positive
2099,negative
3653,positive
1151,positive
4225,negative
34,positive
867,negative
3452,negative
38,positive
1320,positive
786,negative
4687,negative
1355,positive
2502,positive
4665,neutral
2163,negative
1641,positive
1889,positive
3532,positive
3795,negative
3308,positive
516,neutral
5090,positive
266,positive
3996,negative
902,positive
5049,negative
1743,positive
1857,negative
660,positive
3118,positive
58,positive
4268,positive
2112,positive
3647,positive
5071,neutral
3095,negative
1972,negative
2742,negative
4767,positive
3554,negative
923,negative
4303,negative
970,positive
2646,neutral
2494,positive
925,positive
1490,negative
3876,positive
1464,positive
4523,negative
4179,positive
1488,negative
3606,positive
543,negative
418,negative
2436,positive
4753,negative
1187,positive
4480,negative
2448,neutral
1112,positive
602,negative
4087,negative
937,negative
3174,positive
1560,positive
3552,positive
2982,negative
1474,positive
1688,positive
1568,positive
3942,negative
2110,neutral
2639,negative
4063,negative
1877,positive
2922,positive
4519,positive
472,positive
2534,positive
1328,positive
889,positive
3223,negative
2361,neutral
3501,negative
4741,positive
403,positive
4540,positive
2029,negative
4788,positive
3113,positive
2799,positive
1264,negative
4926,positive
4669,neutral
4781,negative
